,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,P12,ELABORACION_APOYOS_DOCENTES,ELABORACIÓN DE OTROS APOYOS DOCENTES,"Se consideran las asesorías de tesis, sinodalías en exámenes profesionales, elaboración de planes y programas de estudio, cursos de inducción, cursos de regularización, asesoría a estudiantes y pasantes, asesoría en proyectos de extensión y servicio social, asesorías de residencias profesionales, elaboración de antologías, manuales de laboratorio, cursos especiales impartidos, etc. Será necesario presentar constancia firmada por el jefe del departamento respectivo, indicando la descripción del apoyo, en qué nivel se aplicó (superior o posgrado), periodo realizado (inicio y término) y anexar un ejemplar en fotocopia cotejada del apoyo correspondiente. (La actividad deberá ser con fecha posterior a la última promoción del docente).",ALTERNATIVA_UNO,,,,,,,,,,,,,,
,P13,PUBLICACIONES_TECNICO_CIENTIFICAS,PUBLICACIONES TÉCNICO CIENTÍFICAS,"Se consideran los trabajos de publicaciones de carácter tecnológico y científico, 
los artículos resultados de una investigación o bien artículos basados en 
revisiones bibliográficas, con aportaciones inéditas por parte del interesado, 
publicados en revistas especializadas de circulación institucional, nacional o 
internacional, o en memorias de congresos, simposio, seminarios o 
convenciones.  
Deberán presentar constancia firmada y sellada por el Director del centro de 
trabajo, mencionando quien la elaboró, nombre del artículo, revista que lo 
publicó, Tipo de circulación (institucional, nacional o internacional), tipo de 
evaluación (con editorial o con jurado) y fecha de la misma, anexando fotocopia 
cotejada de la publicación o un ejemplar de la misma. 
En caso de que la publicación sea en idioma extranjero (diferente al español o 
inglés), se enviará la traducción al español o inglés correspondiente, cotejada 
por el Director de que corresponde al texto original. 
Se consideran las publicaciones realizadas hasta con 5 años de anterioridad 
a la fecha de la promoción docente actual, siempre y cuando no hayan sido 
consideradas en promociones anteriores. (En caso de que la categoría actual 
haya requerido este mismo requisito y la investigación sea con fecha anterior a 
su última promoción, necesita anexar constancia de la H. Comisión 
Dictaminadora o del Director indicando que no fue utilizada en su promoción 
anterior). 
Nota: No se consideran como Publicaciones Técnico - Científicas, las 
publicaciones en periódicos, los manuales, apuntes, textos, folletos, boletines, 
catálogos o tesis de cualquier tipo. Ni tampoco se considera un artículo con 
carácter Técnico-Científico, cuando sólo se trata de una compilación de datos o 
informes con propósitos de divulgación.  ",ALTERNATIVA_UNO,,,,,,,,,,,,,,
,P14,INVESTIGACIONES,INVESTIGACIONES REALIZADAS O INVESTIGACIONES REALIZADAS Y DIRIGIDAS,"Se consideran las actividades que el personal académico realiza, en programas 
de investigación científica, tecnológica o educativa de la Institución o de un 
Organismo externo; se consideran proyectos concluidos, o bien metas 
específicas alcanzadas dentro de un proyecto de mediano o largo plazo. 
Deberán presentar constancia expedida por el Director del centro de trabajo, 
indicando nombre del investigador, nombre de la investigación, periodo de 
realización (inicio y término), nivel de participación (director de la investigación 
y/o investigador participante) es decir, especificar que realizó o realizó y 
dirigió (indicando a quien(es) dirigió) la investigación según sea el caso. 
De igual forma se deberá anexar fotocopia cotejada del Protocolo o Proyecto y 
los reportes o publicaciones de los resultados o conclusiones de la 
investigación (documento soporte). 
En caso de tratarse de reporte de metas específicas alcanzadas dentro de un 
proyecto de mediano o largo plazo, deberá anexar al reporte, la evaluación 
correspondiente por parte del área académica respectiva y/o el organismo 
externo que financia y en el oficio que firma el director del tecnológico, se 
deberá especificar que se trata de un proyecto de mediano o largo plazo, según 
sea el caso. 
Se consideran las Investigaciones con una retroactividad máxima de 5 años 
a la fecha de la promoción docente actual, siempre y cuando no hayan sido 
consideradas en promociones anteriores. (En caso de que la categoría actual 
haya requerido este mismo requisito y la investigación sea con fecha anterior a 
su última promoción, necesita anexar constancia de la H. Comisión 
Dictaminadora o del Director, indicando que no fue utilizada en su promoción 
anterior). 
También se consideran las Investigaciones elaboradas para tesis y las 
realizadas en el año sabático. En el caso de las investigaciones elaboradas como 
tema de tesis, sólo se le acredita al interesado la realización, ya que el director 
o asesor de la tesis se le acredita la dirección de la misma o en el caso de que 
el interesado participe como asesor de una tesis ya sea de Licenciatura, Maestría o Doctorado, un proyecto para concurso de Creatividad o Innovación 
Tecnológica o Emprendedores, se le acredita la dirección de investigación, ya 
que los alumnos son los autores intelectuales de dicho proyecto y son quienes 
se consideran como realizadores del mismo; de tal forma que pueden 
complementar ambas opciones, debiendo anexar los documentos soporte 
correspondientes.  ",ALTERNATIVA_UNO,,,,,,,,,,,,,,
,P15,RESPONSABLE_ELABORACION_PROGRAMAS,RESPONSABLE DE LA ELABORACIÓN DE PLANES Y PROGRAMAS DE ESTUDIO,"Se considera la revisión y/o elaboración de planes y programas de estudio de las carreras, tanto para programas de nivel Licenciatura o Posgrado, el profesor deberá participar o ser responsable directo de dicha elaboración y/o revisión de los mismos. Se presentará constancia sellada y firmada por el Director del centro de trabajo, o Subdirector Académico, o Jefe del Departamento Académico respectivo, indicando nombre y clave de los planes y programas de estudio, periodo de realización (inicio y término), tipo de participación y nivel de aplicación (superior o posgrado), anexando fotocopia cotejada de constancias o diplomas expedidos por el centro de trabajo adscrito al TecNM. (La actividad deberá ser con fecha posterior a la última promoción del docente).",ALTERNATIVA_UNO,,,,,,,,,,,,,,
,P16,DISEÑO_CONSTRUCCION_MATERIAL,DISEÑO Y CONSTRUCCIÓN DE MATERIAL Y EQUIPO DE ENSEÑANZA O INVESTIGACIÓN (TÉCNICOS DOCENTES),"Para el cumplimiento de este requisito deberán presentar constancia sellada y 
firmada por la autoridad competente, donde se llevó a cabo la actividad, 
indicando el nombre y tipo de material y equipo que se diseñó, nombre de la 
asignatura donde se utiliza y periodo de participación (inicio y término). ",ALTERNATIVA_UNO,,,,,,,,,,,,,,
,P17,SERVICIO_MANTENIMIENTO,"SERVICIOS DE MANTENIMIENTO, REPARACIÓN, AJUSTE Y CALIBRACIÓN DE INSTRUMENTAL Y EQUIPO DE ENSEÑANZA O INVESTIGACIÓN (TÉCNICOS DOCENTES)","Para su comprobación deberán presentar constancia sellada y firmada por la 
autoridad competente, la cual deberá indicar el tipo de servicio prestado, 
periodo de realización, a qué tipo de equipo e instrumental se refiere, nombre 
de la asignatura en que se utiliza y lugar donde se llevó a cabo la actividad. ",ALTERNATIVA_UNO,,,,,,,,,,,,,,
,P18,SOPORTE_TECNICO,ASESORÍAS Y ASISTENCIA TÉCNICA A TERCEROS A TRAVÉS DE LOS INSTITUTOS TECNOLÓGICOS (TÉCNICOS DOCENTES),"Deberán presentar constancia sellada y firmada por la Institución o Empresa 
donde se prestó el servicio, indicando el tipo de asesoría y asistencia, período 
de realización (inicio y término) y lugar donde se llevó a cabo la actividad. ",ALTERNATIVA_UNO,,,,,,,,,,,,,,
,P19,EXPERIENCIA_JEFATURA,EXPERIENCIA COMO JEFE DE TALLER O (TÉCNICOS DOCENTES) TECNOLÓGICOS (TÉCNICOS DOCENTES),"Deberán presentar constancia y nombramiento del cargo ocupado, firmado y 
sellado por la autoridad competente, indicando el nombre del cargo, periodo 
de tiempo de inicio y término (dd/mm/aa) y lugar en donde se desempeñó el 
cargo o la actividad que desempeña. ",ALTERNATIVA_UNO,,,,,,,,,,,,,,
,P20,RESPONSABLE_EQUIPO_ENSEÑANZA,RESPONSABLE DEL EQUIPO DE ENSEÑANZA O INVESTIGACIÓN (TÉCNICOS DOCENTES),"Para su comprobación deberán presentar constancia sellada y firmada por la 
autoridad competente, indicando el nombre y tipo de instrumental y/o equipo 
bajo su responsabilidad y periodo de tiempo de inicio y término.",ALTERNATIVA_UNO,,,,,,,,,,,,,,
,P21,CUROS_DOCENCIA_APROBADOS,CURSOS DE DOCENCIA APROBADOS (TÉCNICOS DOCENTES),"Se consideran los cursos aprobados por el personal docente, incluyendo la acreditación de estudios formales cursados por los profesores en instituciones con reconocimiento oficial, posteriores a la licenciatura (especialización, maestría y doctorado).

Deberán presentar copia fotostática cotejada de diplomas, constancias o certificados parciales o totales expedidos por la institución que impartió el curso, indicando el nombre del curso, fecha de realización y período de duración. Sólo se consideran aquellos con una duración de 30 horas o más y con una retroactividad de tres años a la fecha de la promoción docente actual, siempre y cuando no hayan sido considerados en promociones anteriores. Por lo tanto, deberá anexar una constancia de la H. Comisión Dictaminadora o del Director, indicando que no se utilizó en su promoción anterior, cuando la categoría actual haya requerido este mismo requisito.",ALTERNATIVA_UNO,,,,,,,,,,,,,,
