,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,CATALOGO_TIPOS_DOCENTE,,,CATALOGO_NIVELES,,,,CATEGORIAS PROMOVIBLES,,,,,,,,,,,,
,ID_TIPO_DOCENTE,NOMBRE,,ID_NIVEL,CLAVE NIVEL,SECUENCIA NIVEL,,ID_CATEGORIA,ID_TIPO_DOCENTE,ID_NIVEL,SUFIJO CLAVE,TIENE MEDIO TIEMPO,TIENE 3/4 TIEMPO,TIENE TIEMPO COMPLETO,ARTICULO REFERENCIA,VERSION,FECHA_VIGENCIA_INICIO,FECHA_VIGENCIA_FIN,ESTATUS_VERSION,ID_PROMOCION_PADRE
,1,Profesor de Asignatura de E.S.,,1,A,1,,1,2,2,9,si,si,si,38,,,,,
,2,Profesor de Carrera de E.S. Asociado,,2,B,2,,2,,,,,,,,,,,,
,3,Profesor de Carrera de E.S. Titular,,3,C,3,,3,,,,,,,,,,,,
,4,Profesor Investigador de Carrera Titular,,,,,,4,,,,,,,,,,,,
,5,Técnico Docente de Asignatura de E.S.,,,,,,,,,,,,,,,,,,
,6,Técnico Docente de Carrera de E.S. Asociado,,,,,,,,,,,,,,,,,,
,7,Técnico Docente de Carrera de E.S. Titular,,,,,,,,,,,,,,,,,,
